4.875 1.73333 -0.0425532 -0.0731707 1.146 0.4875 0.49375 0.575 0.49375 0.0166667 0.0296296
5 0.821429 0.111111 -0.0196078 1.06044 0.492188 0.5125 0.56875 0.491667 0.0166667 0.0296296
4 1.34783 -0.0285714 -0.037037 0.648413 0.46875 0.53125 0.584375 0.508333 0.0166667 0.0296296
4.6 1.8125 0 -0.0888889 1.24762 0.507813 0.554167 0.595313 0.529167 0.0166667 0.0296296
3.875 0.655172 -0.205128 0.0833333 0.810515 0.482812 0.51875 0.582812 0.50625 0.0166667 0.0296296
3.27273 0.689655 -0.0638298 -0.0612245 0.958386 0.485938 0.504167 0.571875 0.497917 0.0166667 0.0296296
3.41667 3.36364 -0.0188679 0.0833333 1.10055 0.485938 0.495833 0.585938 0.479167 0.0166667 0.0296296
2.31579 1.72222 -0.0793651 -0.0204082 1.28481 0.420312 0.5625 0.526563 0.54375 0.0166667 0.0296296
3.46667 2.2 -0.0298507 0.104167 1.40112 0.446875 0.564583 0.546875 0.525 0.0166667 0.0296296
4.125 2.2 -0.219512 0.0416667 0.853492 0.435937 0.55625 0.565625 0.533333 0.0166667 0.0296296
4.8 1.8125 -0.155172 -0.155556 1.28838 0.46875 0.533333 0.557813 0.525 0.0166667 0.0296296
4.42857 0.689655 -0.105263 0.0408163 0.775767 0.445313 0.479167 0.54375 0.46875 0.0166667 0.0296296
2.66667 1 -0.121212 0.0217391 0.716714 0.465625 0.472917 0.557813 0.464583 0.0166667 0.342593
