4 1.38889 -0.325 0 0.932845 0.445313 0.64375 0.557813 0.633333
3.33333 1.33333 -0.179487 -0.0238095 0.933443 0.44375 0.641667 0.557813 0.633333
3 1.44444 -0.325 0.0227273 0.911644 0.445313 0.64375 0.559375 0.63125
3.33333 1.33333 -0.153846 -0.0714286 0.927429 0.445313 0.645833 0.559375 0.633333
3.25 1.44444 -0.235294 -0.0454545 0.775529 0.4375 0.639583 0.55625 0.629167
1.61111 1.44444 -0.106383 0.0227273 1.07008 0.44375 0.64375 0.554688 0.622917
4 1.5625 0 -0.170732 1.09734 0.440625 0.641667 0.557813 0.635417
3.88889 2.9 0 -0.179487 1.12604 0.421875 0.639583 0.546875 0.63125
2.35714 1.3125 -0.276596 -0.0810811 1.27069 0.429688 0.633333 0.54375 0.620833
2.92308 1.625 -0.27451 0.142857 1.19983 0.448437 0.625 0.559375 0.60625
1.17391 1.04167 -0.1 0.0204082 1.01029 0.473438 0.622917 0.584375 0.6125
1.17391 1.14286 -0.08 0.0222222 1.11002 0.496875 0.625 0.60625 0.6125
1.125 1.16667 -0.0784314 0.102564 1.30409 0.5125 0.625 0.615625 0.60625
1.21739 0.9375 -0.0784314 0.0322581 1.64643 0.51875 0.625 0.623437 0.60625
1.22727 0.909091 -0.0408163 0.0714286 1.16658 0.515625 0.629167 0.620313 0.60625
1.27273 0.913043 -0.08 0.0909091 1.1363 0.5125 0.629167 0.617188 0.610417
1.61111 1.11111 -0.106383 0.0526316 1.24131 0.514062 0.625 0.61875 0.608333
3.85714 5 -0.117647 0 0.944839 0.50625 0.622917 0.623437 0.614583
1.5 1.375 -0.0888889 0.157895 1.1852 0.504687 0.6125 0.610938 0.589583
1.05 1.11111 -0.146341 -0.0789474 1.08893 0.498437 0.602083 0.610938 0.595833
1.64706 1.29412 -0.0888889 0 1.15801 0.507813 0.602083 0.6125 0.591667
0.0277778 1.21053 -0.0810811 0.0238095 0.883491 0.45625 0.614583 0.614062 0.589583
1.42105 1.29412 -0.0869565 0.025641 1.18792 0.509375 0.6125 0.614062 0.597917
1.22727 1.29412 -0.0816327 0.025641 1.25506 0.507813 0.6125 0.614062 0.597917
0.142857 1.375 0.0833333 -0.157895 1.25731 0.470313 0.61875 0.620313 0.59375
4 1.92308 -0.171429 0.105263 0.922555 0.520312 0.59375 0.628125 0.577083
